iter	RMSE
0	4020.753452
1	3602.088714
2	3268.077423
3	3012.027984
4	2804.939179
5	2648.677235
6	2524.308992
7	2422.192291
8	2345.114155
9	2277.130065
10	2218.658399
11	2178.10065
12	2146.399864
13	2119.457563
14	2090.520442
15	2069.091392
16	2050.864783
17	2036.39085
18	2021.903046
19	2009.454331
20	1998.713212
21	1989.030511
22	1981.469147
23	1974.002817
24	1967.80731
25	1961.023914
26	1955.043995
27	1949.057564
28	1945.396576
29	1941.162061
30	1935.581598
31	1931.400506
32	1928.13523
33	1924.871841
34	1919.297802
35	1915.55354
36	1910.677244
37	1906.085718
38	1903.804638
39	1901.478039
40	1899.380744
41	1896.911004
42	1893.979486
43	1891.695833
44	1888.465255
45	1886.248385
46	1884.142208
47	1881.806565
48	1877.716252
49	1875.363438
50	1872.896308
51	1870.361183
52	1868.235192
53	1865.647272
54	1864.079398
55	1862.195375
56	1859.833137
57	1858.437059
58	1856.947193
59	1854.707914
60	1852.732592
61	1851.252907
62	1849.610894
63	1846.164952
64	1844.484886
65	1842.506243
66	1840.837184
67	1838.296089
68	1837.135525
69	1834.704958
70	1833.31486
71	1831.873939
72	1829.462685
73	1828.124444
74	1826.515609
75	1824.488555
76	1823.145714
77	1821.605431
78	1819.332947
79	1817.402709
80	1815.628266
81	1814.399369
82	1812.190667
83	1810.861972
84	1809.81416
85	1807.903428
86	1806.552604
87	1804.913119
88	1803.491587
89	1801.068029
90	1799.26847
91	1798.339634
92	1797.017632
93	1795.669627
94	1793.756544
95	1792.687559
96	1791.316094
97	1789.994308
98	1788.808392
99	1787.590958
100	1786.497938
101	1784.889035
102	1783.316899
103	1782.124615
104	1780.968015
105	1779.819322
106	1778.723238
107	1777.723935
108	1776.23206
109	1775.036981
110	1773.971155
111	1773.08243
112	1772.178114
113	1771.022152
114	1769.695785
115	1768.948559
116	1768.203991
117	1766.998806
118	1766.149326
119	1765.229905
120	1764.579863
121	1763.604721
122	1762.251441
123	1761.177373
124	1760.555939
125	1759.672246
126	1758.802945
127	1757.838022
128	1756.639665
129	1755.741416
130	1754.969139
131	1753.904033
132	1752.945991
133	1751.443096
134	1750.799117
135	1749.056347
136	1748.265346
137	1747.21125
138	1746.542773
139	1745.62286
140	1745.000986
141	1744.147041
142	1742.76543
143	1741.517108
144	1740.557879
145	1739.610197
146	1738.670853
147	1738.039628
148	1737.322105
149	1736.467636
150	1735.613863
151	1734.959657
152	1734.219452
153	1733.429023
154	1732.88743
155	1732.08836
156	1731.089842
157	1730.209056
158	1729.496123
159	1729.126403
160	1728.562312
161	1727.975069
162	1727.383697
163	1726.731399
164	1726.187046
165	1725.846283
166	1725.179008
167	1724.188419
168	1723.814304
169	1723.026444
170	1722.182919
171	1721.397357
172	1721.184709
173	1720.145374
174	1719.237874
175	1718.690331
176	1718.105926
177	1716.675778
178	1715.862547
179	1715.364908
180	1714.819814
181	1713.706647
182	1713.167242
183	1712.10607
184	1711.676788
185	1711.077812
186	1710.46301
187	1710.24247
188	1709.677935
189	1709.097664
190	1708.945338
191	1707.998387
192	1707.280594
193	1706.522932
194	1705.912129
195	1704.77339
196	1704.057598
197	1703.447156
198	1703.05485
199	1702.289869
200	1701.721725
201	1701.186549
202	1700.66669
203	1700.330231
204	1699.69914
205	1699.592375
206	1699.240736
207	1698.896264
208	1698.097867
209	1697.430554
210	1696.799593
211	1696.267002
212	1695.219928
213	1694.621433
214	1693.610516
215	1693.08939
216	1692.41643
217	1691.382871
218	1691.06872
219	1690.667244
220	1690.389896
221	1690.020818
222	1689.227238
223	1688.614089
224	1688.061275
225	1687.370713
226	1686.598012
227	1686.075015
228	1685.776792
229	1685.313583
230	1684.934598
231	1684.391132
232	1683.635845
233	1683.087164
234	1682.15736
235	1681.777525
236	1680.980247
237	1680.3624
238	1679.880854
239	1679.267811
240	1678.643163
241	1678.102237
242	1677.587056
243	1677.28625
244	1676.268444
245	1675.800911
246	1675.138151
247	1674.872088
248	1674.362446
249	1673.796334
250	1673.569552
251	1672.926618
252	1672.467273
253	1671.454831
254	1670.866508
255	1670.409148
256	1669.944399
257	1669.581579
258	1669.207816
259	1668.485457
260	1668.088434
261	1667.59436
262	1666.880118
263	1666.537464
264	1665.948378
265	1665.260469
266	1664.809074
267	1664.290921
268	1663.948448
269	1663.605586
270	1663.438479
271	1662.96082
272	1662.589876
273	1662.225247
274	1661.840541
275	1661.095812
276	1660.57946
277	1660.148033
278	1659.878612
279	1659.590733
280	1659.254707
281	1658.885106
282	1658.110159
283	1657.444449
284	1656.765439
285	1656.282582
286	1655.57602
287	1654.931488
288	1654.396999
289	1653.638205
290	1652.631511
291	1652.41712
292	1651.885659
293	1651.555444
294	1651.05676
295	1650.703268
296	1650.373298
