iter	Passed	Remaining
0	3	1779
1	6	1561
2	9	1583
3	12	1545
4	15	1574
5	20	1667
6	24	1759
7	28	1774
8	32	1791
9	39	1936
10	76	3408
11	83	3393
12	86	3255
13	90	3128
14	93	3020
15	96	2921
16	100	2858
17	104	2799
18	107	2722
19	110	2652
20	112	2570
21	115	2505
22	118	2463
23	122	2437
24	126	2402
25	129	2366
26	133	2339
27	136	2303
28	139	2269
29	142	2236
30	145	2206
31	149	2181
32	152	2156
33	155	2128
34	158	2107
35	161	2083
36	164	2062
37	167	2037
38	171	2021
39	174	2001
40	177	1985
41	179	1962
42	182	1943
43	185	1921
44	188	1904
45	190	1884
46	193	1869
47	196	1853
48	199	1838
49	202	1821
50	205	1807
51	208	1792
52	210	1775
53	213	1763
54	216	1749
55	219	1736
56	221	1722
57	224	1712
58	227	1698
59	230	1686
60	232	1675
61	235	1664
62	238	1653
63	241	1642
64	243	1632
65	246	1622
66	249	1612
67	251	1600
68	255	1597
69	258	1587
70	261	1578
71	263	1567
72	266	1558
73	269	1551
74	272	1541
75	275	1534
76	277	1525
77	280	1518
78	283	1510
79	285	1501
80	288	1492
81	291	1486
82	294	1478
83	297	1471
84	299	1462
85	302	1455
86	304	1447
87	307	1440
88	310	1432
89	313	1427
90	316	1422
91	319	1416
92	322	1410
93	325	1403
94	327	1398
95	330	1391
96	333	1386
97	336	1380
98	339	1374
99	342	1368
100	344	1362
101	347	1356
102	350	1350
103	352	1343
104	355	1339
105	359	1334
106	361	1328
107	364	1322
108	366	1316
109	369	1311
110	372	1305
111	375	1301
112	378	1296
113	381	1293
114	384	1287
115	387	1282
116	390	1276
117	392	1271
118	395	1266
119	398	1261
120	401	1257
121	404	1253
122	407	1249
123	410	1244
124	413	1240
125	416	1235
126	419	1232
127	422	1227
128	424	1221
129	427	1217
130	430	1212
131	433	1207
132	435	1202
133	438	1197
134	441	1193
135	443	1188
136	446	1184
137	449	1180
138	452	1175
139	455	1170
140	457	1165
141	460	1161
142	463	1156
143	465	1151
144	468	1146
145	471	1143
146	474	1138
147	476	1134
148	479	1129
149	482	1125
150	485	1121
151	487	1116
152	490	1113
153	508	1141
154	510	1137
155	513	1132
156	516	1128
157	519	1124
158	522	1119
159	524	1114
160	527	1110
161	529	1105
162	532	1100
163	534	1095
164	537	1091
165	540	1087
166	542	1082
167	545	1077
168	547	1073
169	550	1068
170	553	1064
171	556	1060
172	558	1056
173	561	1052
174	564	1048
175	567	1044
176	570	1040
177	573	1036
178	575	1032
179	578	1028
180	581	1024
181	584	1020
182	586	1016
183	589	1012
184	592	1008
185	594	1003
186	597	999
187	599	995
188	602	991
189	603	985
190	606	980
191	608	976
192	611	972
193	613	968
194	616	964
195	619	960
196	622	957
197	624	953
198	627	949
199	630	945
200	632	941
201	635	937
202	638	933
203	641	930
204	643	926
205	646	923
206	650	920
207	653	917
208	656	913
209	659	911
210	662	908
211	666	905
212	669	902
213	672	899
214	676	896
215	679	893
216	683	891
217	685	887
218	688	884
219	692	881
220	695	878
221	698	874
222	701	871
223	704	868
224	707	865
225	710	861
226	714	858
227	718	856
228	721	853
229	724	851
230	727	847
231	731	845
232	734	842
233	737	838
234	740	834
235	743	831
236	746	828
237	749	824
238	751	820
239	754	817
240	757	813
241	758	808
242	761	804
243	763	801
244	766	798
245	769	794
246	772	791
247	775	788
248	778	785
249	782	782
250	785	779
251	788	775
252	791	772
253	794	769
254	797	766
255	800	763
256	803	760
257	806	756
258	810	753
259	813	750
260	816	747
261	819	744
262	822	741
263	825	737
264	828	734
265	830	730
266	833	727
267	835	723
268	839	720
269	841	717
270	844	713
271	847	710
272	850	707
273	853	703
274	855	700
275	858	696
276	861	693
277	864	690
278	867	686
279	870	683
280	872	680
281	875	676
282	878	673
283	881	670
284	884	666
285	887	663
286	890	660
287	893	657
288	896	654
289	898	650
290	901	647
291	904	644
292	906	640
293	909	637
294	912	634
295	915	631
296	918	627
297	921	624
298	924	621
299	926	617
300	929	614
301	932	611
302	935	608
303	938	604
304	941	601
305	944	598
306	947	595
307	950	592
308	953	589
309	956	586
310	959	583
311	962	580
312	966	577
313	969	574
314	972	570
315	974	567
316	977	564
317	980	561
318	983	558
319	987	555
320	990	552
321	993	549
322	996	545
323	998	542
324	1001	539
325	1004	536
326	1007	532
327	1010	529
328	1013	526
329	1015	523
330	1018	519
331	1021	516
332	1023	513
333	1026	510
334	1029	506
335	1031	503
336	1035	500
337	1038	497
338	1042	494
339	1044	491
340	1048	488
341	1051	485
342	1054	482
343	1057	479
344	1060	476
345	1063	473
346	1066	470
347	1069	467
348	1072	463
349	1074	460
350	1077	457
351	1080	454
352	1082	450
353	1085	447
354	1087	444
355	1090	441
356	1093	437
357	1096	434
358	1099	431
359	1102	428
360	1105	425
361	1108	422
362	1111	419
363	1114	416
364	1117	413
365	1119	410
366	1122	406
367	1125	403
368	1128	400
369	1130	397
370	1133	394
371	1136	391
372	1139	387
373	1142	384
374	1144	381
375	1147	378
376	1150	375
377	1151	371
378	1153	368
379	1156	365
380	1159	362
381	1162	358
382	1164	355
383	1168	352
384	1170	349
385	1173	346
386	1176	343
387	1179	340
388	1182	337
389	1185	334
390	1188	331
391	1191	328
392	1193	325
393	1196	321
394	1199	318
395	1201	315
396	1204	312
397	1207	309
398	1210	306
399	1213	303
400	1216	300
401	1219	297
402	1222	294
403	1225	291
404	1228	288
405	1230	285
406	1233	281
407	1236	278
408	1239	275
409	1242	272
410	1244	269
411	1247	266
412	1250	263
413	1253	260
414	1255	257
415	1258	254
416	1261	251
417	1264	248
418	1267	244
419	1269	241
420	1272	238
421	1275	235
422	1278	232
423	1281	229
424	1284	226
425	1287	223
426	1290	220
427	1293	217
428	1295	214
429	1298	211
430	1301	208
431	1304	205
432	1307	202
433	1325	201
434	1328	198
435	1330	195
436	1333	192
437	1335	189
438	1338	185
439	1341	182
440	1344	179
441	1347	176
442	1350	173
443	1352	170
444	1355	167
445	1358	164
446	1361	161
447	1363	158
448	1366	155
449	1369	152
450	1371	149
451	1374	145
452	1377	142
453	1380	139
454	1382	136
455	1385	133
456	1388	130
457	1390	127
458	1393	124
459	1395	121
460	1398	118
461	1401	115
462	1404	112
463	1406	109
464	1410	106
465	1412	103
466	1415	100
467	1417	96
468	1420	93
469	1422	90
470	1425	87
471	1428	84
472	1430	81
473	1433	78
474	1436	75
475	1439	72
476	1442	69
477	1445	66
478	1461	64
479	1464	61
480	1467	57
481	1470	54
482	1473	51
483	1475	48
484	1478	45
485	1480	42
486	1483	39
487	1486	36
488	1488	33
489	1491	30
490	1494	27
491	1497	24
492	1499	21
493	1502	18
494	1505	15
495	1507	12
496	1510	9
497	1513	6
498	1515	3
499	1518	0
