iter	Passed	Remaining
0	146	72854
1	157	39135
2	167	27703
3	180	22414
4	190	18875
5	201	16580
6	210	14822
7	218	13418
8	226	12371
9	235	11554
10	245	10909
11	253	10327
12	262	9839
13	270	9391
14	278	9003
15	286	8662
16	294	8360
17	301	8076
18	309	7834
19	316	7597
20	323	7376
21	330	7179
22	338	7017
23	347	6887
24	354	6744
25	367	6704
26	375	6580
27	382	6451
28	390	6343
29	399	6261
30	407	6161
31	414	6067
32	421	5965
33	428	5873
34	435	5789
35	443	5710
36	450	5633
37	457	5561
38	464	5490
39	474	5453
40	482	5406
41	490	5348
42	498	5293
43	506	5249
44	514	5204
45	522	5152
46	530	5115
47	538	5073
48	546	5027
49	553	4982
50	561	4942
51	569	4903
52	577	4867
53	584	4825
54	592	4793
55	599	4751
56	607	4719
57	614	4680
58	620	4636
59	628	4606
60	634	4569
61	642	4535
62	649	4503
63	656	4472
64	664	4448
65	671	4417
66	678	4387
67	685	4357
68	694	4339
69	702	4312
70	710	4292
71	716	4260
72	723	4230
73	731	4213
74	740	4197
75	748	4174
76	756	4155
77	765	4140
78	776	4135
79	783	4111
80	791	4091
81	800	4079
82	809	4065
83	817	4047
84	825	4028
85	832	4009
86	840	3991
87	848	3973
88	856	3954
89	863	3935
90	871	3919
91	879	3901
92	886	3880
93	894	3864
94	901	3843
95	908	3825
96	916	3806
97	924	3791
98	932	3775
99	940	3761
100	949	3749
101	968	3778
102	976	3763
103	983	3746
104	991	3730
105	999	3713
106	1006	3696
107	1013	3678
108	1021	3664
109	1029	3650
110	1037	3636
111	1045	3620
112	1052	3604
113	1060	3590
114	1067	3575
115	1076	3564
116	1086	3555
117	1095	3545
118	1103	3532
119	1110	3517
120	1119	3505
121	1128	3495
122	1136	3482
123	1144	3470
124	1152	3458
125	1161	3447
126	1182	3473
127	1191	3463
128	1199	3449
129	1207	3435
130	1214	3421
131	1222	3408
132	1231	3397
133	1240	3387
134	1248	3375
135	1257	3365
136	1265	3352
137	1273	3339
138	1281	3327
139	1289	3315
140	1299	3309
141	1308	3298
142	1315	3284
143	1326	3278
144	1334	3266
145	1342	3255
146	1350	3243
147	1359	3233
148	1368	3223
149	1376	3212
150	1384	3200
151	1393	3189
152	1400	3177
153	1408	3163
154	1415	3149
155	1422	3136
156	1430	3125
157	1438	3112
158	1446	3101
159	1455	3093
160	1464	3084
161	1472	3072
162	1481	3062
163	1489	3050
164	1496	3038
165	1505	3028
166	1512	3015
167	1519	3002
168	1528	2992
169	1537	2984
170	1546	2975
171	1554	2963
172	1562	2952
173	1570	2941
174	1577	2929
175	1585	2918
176	1593	2908
177	1602	2899
178	1610	2887
179	1617	2876
180	1627	2869
181	1635	2857
182	1644	2848
183	1652	2837
184	1660	2828
185	1669	2818
186	1678	2808
187	1688	2801
188	1696	2791
189	1705	2783
190	1712	2770
191	1720	2760
192	1728	2749
193	1736	2739
194	1744	2729
195	1752	2717
196	1760	2707
197	1767	2695
198	1774	2684
199	1783	2675
200	1790	2663
201	1797	2652
202	1805	2641
203	1811	2629
204	1820	2619
205	1827	2608
206	1835	2597
207	1843	2588
208	1851	2578
209	1858	2566
210	1865	2555
211	1873	2544
212	1880	2533
213	1887	2522
214	1894	2511
215	1901	2500
216	1908	2489
217	1916	2479
218	1924	2469
219	1932	2460
220	1940	2449
221	1949	2440
222	1959	2433
223	1969	2426
