iter	Passed	Remaining
0	697	347878
1	1048	261042
2	1702	282038
3	1707	211724
4	2263	224113
5	2895	238390
6	3246	228641
7	4068	250212
8	4705	256732
9	4725	231572
10	4852	215734
11	4856	197505
12	5024	188207
13	5158	179072
14	5532	178876
15	5918	179031616	6552	186176
17	7169	191988
18	7455	188736
19	8169	196072
20	8676	197902
21	8975	195004
22	9435	195689
23	9845	195267
24	9858	187314
25	10314	188047
26	10456	183186
27	10874	183304
28	11060	179642
29	11597	181701
30	12287	185891
31	12755	186553
32	13083	185150
33	13090	179413
34	13232	175805
35	13245	170721
36	14497	181409
37	14917	181371
38	15023	177579
39	15396	177064
40	15804	176933
41	16248	177188
42	16314	173388
43	16824	174360
44	17313	175059
45	17729	174986
46	17981	173310
47	18409	173355
48	18740	172493
49	19043	171388
50	19320	170100
51	19658	169367
52	20147	169919
53	20150	166426
54	20593	166623
55	20863	165414
56	21113	164092
57	21116	160923
58	21598	161438
59	22015	161446
60	22554	162319
61	23010	162560
62	23329	161822
63	23833	162363
64	24326	162798
65	24953	164087
66	25545	165095
67	25932	164749
68	26384	164806
69	26680	163897
70	27030	163323
71	27049	160792
72	27568	161255
73	27764	159835
74	28012	158737
75	28171	157165
76	28365	155827
77	28511	154256
78	28718	153043
79	28899	151722
80	28988	149952
81	29120	148445
82	29187	146639
83	29317	145189
84	29635	144688
85	29846	143677
86	29960	142226
87	29967	140303
88	30291	139887
89	30522	139047
90	30765	138274
91	31055	137724
92	31441	137597
93	31691	136881
94	31698	135136
95	31983	134598
96	32204	133799
97	32584	133661
98	32992	133634
99	33239	132958
100	33253	131366
101	33676	131404
102	34044	131221
103	34304	130621
104	34691	130507
105	35147	130643
106	35640	130904
107	35912	130349
108	36332	130330
109	36680	130050
110	36937	129445
111	37231	128979
112	37572	128678
113	37990	128634
114	38437	128681
115	38916	128827
116	39108	128022
117	39178	126830
118	39277	125753
119	39452	124932
120	39570	123942
121	39720	123067
122	39858	122166
123	40004	121305
124	40168	120504
125	40375	119844
126	40565	119140
